algorithm,inputChannels,outputQuantity,datapoint_ID,fold_ID,trueValue_normalised,trueValue_denormalised,trueValue_denormalised_log10,predictedValue_normalised,predictedValue_denormalised,predictedValue_denormalised_log10
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,72,72,1.0981468010123359,0.8073268888351859,-0.09295058266054991,-6.0978158549487764e-18,0.49659691751842905,-0.3039959805303301
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,73,73,1.5821899836344562,0.9401075176262792,-0.02682247444121014,1.6716426223049231e-16,0.49525569904579175,-0.30517051821263835
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,74,74,1.168519444244053,0.8267826473122256,-0.0826086470128571,-2.1139094963822424e-16,0.49640039470552966,-0.30416788185025107
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,75,75,-0.03034312381280192,0.4911531720531616,-0.3087830467699414,1.4508596344533295e-17,0.4997905914253182,-0.3012119237408354
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,76,76,1.4513939912950404,0.9044845865487338,-0.043598829615519794,1.1284463823525897e-16,0.49561552663243363,-0.3048550965147735
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,77,77,0.6798131368614668,0.6908431859670283,-0.1606205216532984,2.383054472048947e-17,0.49777352057770335,-0.302968209721909
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,78,78,0.5046078836085442,0.6417285393390624,-0.1926486460729041,8.768238660391862e-17,0.49826962811939995,-0.30253558431629635
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,79,79,-0.9180846566483845,0.24205963086721216,-0.6160776333317983,1.5482845084576835e-16,0.5023066878009338,-0.29903103952767707
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,80,80,1.60560446696622,0.946462319815078,-0.02389667131680236,-5.887546342709163e-17,0.4951915091246928,-0.3052268106194141
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,81,81,1.646173906172923,0.9574564754131384,-0.018880959309767315,1.717201016623506e-17,0.4950804570479447,-0.3053242167986967
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,82,82,0.33389115912138995,0.5937466559553068,-0.2263988233531776,-1.2335811384723961e-17,0.4987542936081248,-0.3021133525938374
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,83,83,1.2948960142725536,0.8616012022817134,-0.0646937036934203,-5.4670073182299376e-17,0.4960486921300803,-0.30447569107937705
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,84,84,0.9869775225245365,0.7765023300206034,-0.10985723676275996,-5.481025285712578e-17,0.49690827669837434,-0.30372376941567414
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,85,85,-0.8138887470941193,0.27109576541750363,-0.5668772661530981,6.718110916055635e-17,0.502013393512547,-0.29928469590080176
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,86,86,-1.0695276760401635,0.2000067220697857,-0.6989554077922404,-1.6148698540002277e-16,0.5027314646574735,-0.2986639325569244
aeon.DummyRegressor,"['Magnetic_Field_Bz/power/powerByFrequency'
 'Electric_Field_Ex/power/powerByFrequency'
 'Electric_Field_Ey/power/powerByFrequency']",pitch,87,87,0.04186683323141272,0.5115027286552514,-0.29115204516441573,1.3068250185691946e-16,0.4995850403485294,-0.3013905746841229
